system,method_key,method,series,measurement,value,source_tex
tomcat,bestconfig,BestConfig,mean,20,958.59,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,mean,40,978.46,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,mean,60,984.41,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,mean,80,1002.45,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,mean,100,2575.28,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,mean,120,2575.28,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,mean,140,2575.28,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,mean,160,2815.75,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,mean,180,2815.75,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,bestconfig,BestConfig,mean,200,2815.75,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,mean,20,1624.30,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,mean,40,2292.00,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,mean,60,2344.75,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,mean,80,2526.35,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,mean,100,2833.73,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,mean,120,2844.02,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,mean,140,2882.54,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,mean,160,2895.98,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,mean,180,2994.44,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
tomcat,spl,SPL,mean,200,2994.44,/home/lhy/constraint-tuning/ConstrainTune-db/RQ1&2parrel-handle/tomcat_selected_runs_plot.tex
